FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwdPkts,TotLenBwdPkts,FwdPktLenMax,FwdPktLenMin,BwdPktLenMax,BwdPktLenMin,FwdHeaderLen,BwdHeaderLen,SubflowFwdPkts,SubflowFwdByts,SubflowBwdPkts,SubflowBwdByts,TargetOutput
6339,4,8,310,4434,310,0,1460,0,80,184,4,310,8,4434,0
7739,4,8,314,4434,314,0,1460,0,80,184,4,314,8,4434,0
9595,4,8,314,4434,314,0,1460,0,80,184,4,314,8,4434,0
11567,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
13450,4,8,311,4434,311,0,1460,0,80,184,4,311,8,4434,0
11096,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4070,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5863,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7502,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
9361,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6721,4,8,314,4434,314,0,1460,0,80,184,4,314,8,4434,0
7368,4,8,310,4434,310,0,1460,0,80,184,4,310,8,4434,0
9440,4,8,311,4434,311,0,1460,0,80,184,4,311,8,4434,0
10570,4,8,309,4434,309,0,1460,0,80,184,4,309,8,4434,0
12093,4,8,310,4434,310,0,1460,0,80,184,4,310,8,4434,0
8494,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6034,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8401,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5295,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3890,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6551,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
7547,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
9799,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
12029,4,8,325,4434,325,0,1460,0,80,184,4,325,8,4434,0
14230,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
9834,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2054,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4348,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6608,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8911,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8432,3,7,320,4434,320,0,1460,0,60,164,3,320,7,4434,0
8544,3,7,316,4434,316,0,1460,0,60,164,3,316,7,4434,0
10875,3,7,317,4434,317,0,1460,0,60,164,3,317,7,4434,0
9871,4,8,315,4434,315,0,1460,0,80,184,4,315,8,4434,0
15769,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
21720,3,7,316,4434,316,0,1460,0,60,164,3,316,7,4434,0
13199,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
15410,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
14011,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2795,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6935,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
6421,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
9745,4,8,324,4434,324,0,1460,0,80,184,4,324,8,4434,0
12037,4,8,315,4434,315,0,1460,0,80,184,4,315,8,4434,0
12732,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
3591,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2965,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5938,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8792,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8406,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6770,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
7836,4,8,315,4434,315,0,1460,0,80,184,4,315,8,4434,0
9462,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
10239,4,8,314,4434,314,0,1460,0,80,184,4,314,8,4434,0
11157,4,8,315,4434,315,0,1460,0,80,184,4,315,8,4434,0
8493,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6091,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7949,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5707,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4645,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
26804,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
26827,4,8,323,4434,323,0,1460,0,80,184,4,323,8,4434,0
28627,4,8,323,4434,323,0,1460,0,80,184,4,323,8,4434,0
30556,4,8,328,4434,328,0,1460,0,80,184,4,328,8,4434,0
33096,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
8574,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2246,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4677,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6410,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7935,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6302,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
7968,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
9992,4,8,323,4434,323,0,1460,0,80,184,4,323,8,4434,0
10711,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
12597,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
7195,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
9224,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
10909,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6599,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5011,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5853,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
6934,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
8732,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
10711,4,8,327,4434,327,0,1460,0,80,184,4,327,8,4434,0
12513,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
8474,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2016,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3878,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5972,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8014,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7328,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
8549,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
11668,3,7,322,4434,322,0,1460,0,60,164,3,322,7,4434,0
25449,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
25631,3,7,318,4434,318,0,1460,0,60,164,3,318,7,4434,0
18289,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
22676,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
21306,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4112,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3613,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6024,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
7042,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
8699,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
10448,4,8,327,4434,327,0,1460,0,80,184,4,327,8,4434,0
12192,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
8004,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
1816,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3628,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5631,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7348,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6569,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
7110,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
9362,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
9108,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
9897,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
4334,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7149,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6341,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4258,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3352,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5131,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
6705,3,7,322,4434,322,0,1460,0,60,164,3,322,7,4434,0
7451,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
24909,3,7,327,4434,327,0,1460,0,60,164,3,327,7,4434,0
25638,3,7,319,4434,319,0,1460,0,60,164,3,319,7,4434,0
22323,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2072,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2943,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
20447,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
21163,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6610,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
7366,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
9884,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
10007,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
11057,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
4782,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8102,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7357,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4665,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3483,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7788,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
8915,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
11492,4,8,327,4434,327,0,1460,0,80,184,4,327,8,4434,0
13769,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
14560,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
4048,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3396,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6560,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
9113,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
10175,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6479,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
7115,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
9790,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
9460,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
10893,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
4669,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7998,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7342,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5001,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3693,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7504,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
7243,3,7,321,4434,321,0,1460,0,60,164,3,321,7,4434,0
7996,4,8,321,4434,321,0,1460,0,80,184,4,321,8,4434,0
21311,3,7,326,4434,326,0,1460,0,60,164,3,326,7,4434,0
22427,3,7,318,4434,318,0,1460,0,60,164,3,318,7,4434,0
17186,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2347,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3392,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
16870,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
17556,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7251,4,8,321,4434,321,0,1460,0,80,184,4,321,8,4434,0
8190,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
9291,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
10071,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
11158,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
7229,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6386,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5267,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4459,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3326,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5069,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
7042,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
8979,4,8,325,4434,325,0,1460,0,80,184,4,325,8,4434,0
10709,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
12526,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
1333,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3131,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4930,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6896,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8918,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7594,3,7,320,4434,320,0,1460,0,60,164,3,320,7,4434,0
7313,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
9734,3,7,316,4434,316,0,1460,0,60,164,3,316,7,4434,0
9400,3,7,315,4434,315,0,1460,0,60,164,3,315,7,4434,0
9224,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
4714,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5102,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2632,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2854,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3113,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
14129,3,7,320,4434,320,0,1460,0,60,164,3,320,7,4434,0
3002,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
18025,3,7,320,4434,320,0,1460,0,60,164,3,320,7,4434,0
18720,3,7,325,4434,325,0,1460,0,60,164,3,325,7,4434,0
19318,3,7,317,4434,317,0,1460,0,60,164,3,317,7,4434,0
20113,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
8669,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
9479,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
10073,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
10764,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
13664,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
6454,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
6449,4,8,315,4434,315,0,1460,0,80,184,4,315,8,4434,0
9416,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
5144,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
9284,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
3700,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3317,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6284,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2969,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6393,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
957,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6426,3,7,325,4434,325,0,1460,0,60,164,3,325,7,4434,0
8518,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
9449,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
2663,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4614,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
9481,3,7,320,4434,320,0,1460,0,60,164,3,320,7,4434,0
18583,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
11890,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
14152,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2888,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
16917,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
6091,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
8110,4,8,315,4434,315,0,1460,0,80,184,4,315,8,4434,0
21566,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
6713,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3343,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2581,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5695,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
10421,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
2016,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5445,4,8,325,4434,325,0,1460,0,80,184,4,325,8,4434,0
8911,3,7,317,4434,317,0,1460,0,60,164,3,317,7,4434,0
10266,3,7,320,4434,320,0,1460,0,60,164,3,320,7,4434,0
3529,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7031,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
12255,3,7,320,4434,320,0,1460,0,60,164,3,320,7,4434,0
20456,3,7,320,4434,320,0,1460,0,60,164,3,320,7,4434,0
12017,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
13807,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3077,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
16744,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
6443,4,8,315,4434,315,0,1460,0,80,184,4,315,8,4434,0
20554,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
8911,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
5910,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2383,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5116,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
9418,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
2949,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
1200,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5629,4,8,327,4434,327,0,1460,0,80,184,4,327,8,4434,0
7339,4,8,319,4434,319,0,1460,0,80,184,4,319,8,4434,0
7865,3,7,322,4434,322,0,1460,0,60,164,3,322,7,4434,0
3542,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5182,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
10033,3,7,322,4434,322,0,1460,0,60,164,3,322,7,4434,0
1561,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8924,3,7,322,4434,322,0,1460,0,60,164,3,322,7,4434,0
1504,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
1339,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8112,3,7,319,4434,319,0,1460,0,60,164,3,319,7,4434,0
7538,3,7,317,4434,317,0,1460,0,60,164,3,317,7,4434,0
6313,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
13816,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
6532,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6875,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7443,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
30323,3,7,316,4434,316,0,1460,0,60,164,3,316,7,4434,0
19524,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2512,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
21746,4,8,325,4434,325,0,1460,0,80,184,4,325,8,4434,0
23458,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
25582,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
1244,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8248,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
5145,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3503,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
1953,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8623,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
2608,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6240,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
7253,4,8,315,4434,315,0,1460,0,80,184,4,315,8,4434,0
7252,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
28886,3,7,316,4434,316,0,1460,0,60,164,3,316,7,4434,0
25005,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
22364,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3068,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
24829,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
29081,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
11681,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
15386,4,8,325,4434,325,0,1460,0,80,184,4,325,8,4434,0
16660,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
17953,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
20939,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
1538,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7029,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6030,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4934,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
10406,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
1465,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6594,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
8140,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
8911,4,8,315,4434,315,0,1460,0,80,184,4,315,8,4434,0
9953,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
6789,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
9669,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
5230,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4427,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3322,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2991,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5866,4,8,325,4434,325,0,1460,0,80,184,4,325,8,4434,0
7074,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
8216,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
11321,4,8,317,4434,317,0,1460,0,80,184,4,317,8,4434,0
1448,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
10058,4,8,320,4434,320,0,1460,0,80,184,4,320,8,4434,0
6960,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5623,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4543,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3043,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7080,3,7,317,4434,317,0,1460,0,60,164,3,317,7,4434,0
8399,3,7,316,4434,316,0,1460,0,60,164,3,316,7,4434,0
8046,4,8,315,4434,315,0,1460,0,80,184,4,315,8,4434,0
17431,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
12301,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
16361,3,7,317,4434,317,0,1460,0,60,164,3,317,7,4434,0
11077,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
11517,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3352,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3020,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6185,4,8,326,4434,326,0,1460,0,80,184,4,326,8,4434,0
7507,4,8,321,4434,321,0,1460,0,80,184,4,321,8,4434,0
7652,4,8,321,4434,321,0,1460,0,80,184,4,321,8,4434,0
11646,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
1288,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
10136,4,8,321,4434,321,0,1460,0,80,184,4,321,8,4434,0
6634,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5301,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4485,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3356,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
7809,3,7,318,4434,318,0,1460,0,60,164,3,318,7,4434,0
9258,3,7,317,4434,317,0,1460,0,60,164,3,317,7,4434,0
21067,3,7,316,4434,316,0,1460,0,60,164,3,316,7,4434,0
18852,3,7,317,4434,317,0,1460,0,60,164,3,317,7,4434,0
15158,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
21219,3,7,317,4434,317,0,1460,0,60,164,3,317,7,4434,0
13671,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2998,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2693,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3803,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5491,4,8,326,4434,326,0,1460,0,80,184,4,326,8,4434,0
5728,4,8,321,4434,321,0,1460,0,80,184,4,321,8,4434,0
7053,4,8,321,4434,321,0,1460,0,80,184,4,321,8,4434,0
11079,4,8,318,4434,318,0,1460,0,80,184,4,318,8,4434,0
1249,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6822,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
10126,4,8,321,4434,321,0,1460,0,80,184,4,321,8,4434,0
5583,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4564,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
